gene	FDR	Female_vehicle	Female_zeb	Male_vehicle	Male_zeb
ENSRNOT00000000139.7	0.004	0.532	0.925	2.46	1.449
ENSRNOT00000002376.8	0	0	0.95	0.592	0.377
ENSRNOT00000003791.6	0	29.551	18.153	16.53	8.655
ENSRNOT00000004390.6	0.014	0.612	2.06	2.46	1.443
ENSRNOT00000004716.6	0.049	1.627	0	0.331	1.158
ENSRNOT00000004798.6	0.007	4.575	7.781	1.585	0.137
ENSRNOT00000004956.4	0	25.569	157.972	10.574	13.329
ENSRNOT00000005289.7	0.002	28.566	43.584	42.404	41.31
ENSRNOT00000005311.6	0	16.723	182.495	7.658	9.318
ENSRNOT00000005432.5	0.015	28.465	16.706	18.979	20.736
ENSRNOT00000006403.7	0	0	0.026	0.794	0.032
ENSRNOT00000006574.6	0.007	1.128	0.054	0.104	1.034
ENSRNOT00000006624.7	0	0.655	9.304	4.72	3.102
ENSRNOT00000007657.5	0	0.626	0.863	0	1.255
ENSRNOT00000009041.6	0	0	1.31	1.223	1.063
ENSRNOT00000009240.5	0.024	0	0	0.309	0
ENSRNOT00000009419.3	0.003	0	0.35	0.458	0.439
ENSRNOT00000009556.7	0	28.925	91.224	66.891	161.673
ENSRNOT00000010247.5	0.002	2.675	1.897	0.544	0.806
ENSRNOT00000010743.7	0.007	6.29	4.939	2.505	4.219
ENSRNOT00000011521.4	0.013	4.911	10.469	1.841	7.617
ENSRNOT00000013530.5	0.009	8.966	4.866	4.162	5.677
ENSRNOT00000013546.6	0	11.767	7.103	4.739	4.51
ENSRNOT00000014464.7	0.045	60.787	66.713	45.722	47.347
ENSRNOT00000014639.6	0.025	2.339	0.701	0.599	0.795
ENSRNOT00000015127.5	0.002	0	0.337	0.475	0.24
ENSRNOT00000015393.5	0.044	1.402	4.28	3.746	2.583
ENSRNOT00000016474.3	0	1.142	0.555	0	0.289
ENSRNOT00000016838.6	0	42.378	38.364	68.288	54.967
ENSRNOT00000017224.6	0	18.559	17.684	4.534	3.964
ENSRNOT00000017708.5	0	7.598	5.888	2.683	8.124
ENSRNOT00000017749.6	0	1.008	0.076	0	0
ENSRNOT00000018126.3	0	7.249	2.554	0.7	0
ENSRNOT00000018272.8	0.003	0	0	0.45	0
ENSRNOT00000018630.5	0	182.379	49.782	52.151	55.681
ENSRNOT00000020532.7	0.048	2.511	27.68	0.74	1.112
ENSRNOT00000020926.5	0	4.54	188.055	1.017	1.948
ENSRNOT00000021223.4	0	2.686	10.558	11.702	36.491
ENSRNOT00000021456.2	0.002	24.121	15.507	14.487	14.663
ENSRNOT00000021877.5	0.003	0.461	0	0	0.095
ENSRNOT00000022113.4	0	5.055	6.422	1.071	6.888
ENSRNOT00000022669.6	0	2.599	1.056	0	0.277
ENSRNOT00000023376.4	0	4.278	1.851	0.711	3.791
ENSRNOT00000023611.6	0.039	90.784	75.284	69.45	62.362
ENSRNOT00000024427.6	0	21.057	21.35	36.117	36.569
ENSRNOT00000024757.4	0.035	1.384	36.633	0.223	0.389
ENSRNOT00000024978.6	0	34.408	19.984	18.651	16.324
ENSRNOT00000025037.8	0.018	23.297	26.38	14.922	15.877
ENSRNOT00000025446.6	0	0	1.166	2.763	1.447
ENSRNOT00000025845.4	0.044	12.88	8.726	7.334	4.448
ENSRNOT00000028064.5	0	26.037	0.857	0.217	0.53
ENSRNOT00000029458.6	0	5.135	7.131	13.262	22.749
ENSRNOT00000029878.6	0.004	0.44	0.623	0	0.001
ENSRNOT00000032802.4	0.009	29.151	27.734	19.204	18.814
ENSRNOT00000033968.7	0	0.942	0.128	0	0.226
ENSRNOT00000034957.6	0	2.478	0.694	0.264	0.835
ENSRNOT00000035001.6	0.02	8.551	4.295	4.096	7.162
ENSRNOT00000035100.5	0.001	6.023	3.568	2.095	0.568
ENSRNOT00000036814.5	0.001	13.519	9.747	6.642	14.684
ENSRNOT00000037199.5	0	23.228	11.264	9.473	26.827
ENSRNOT00000037752.3	0	11.099	6.248	3.881	16.384
ENSRNOT00000037974.6	0	0.426	0.771	3.11	0.075
ENSRNOT00000041130.5	0	7.001	5.678	1.005	1.133
ENSRNOT00000042006.4	0.038	2.887	2.549	0.9	1.168
ENSRNOT00000042331.4	0	0.598	0.357	0	0
ENSRNOT00000042688.2	0	84.473	37.707	35.56	41.788
ENSRNOT00000046010.3	0	2.342	5.603	0.19	2.188
ENSRNOT00000047053.6	0.002	8.441	8.207	3.53	6.064
ENSRNOT00000048694.4	0.021	4.891	5.811	9.76	5.192
ENSRNOT00000048977.3	0.007	150.472	194.533	113.014	153.968
ENSRNOT00000050722.1	0	17.96	22.593	40.218	16.765
ENSRNOT00000050927.6	0.002	15.299	20.507	25.382	16.835
ENSRNOT00000050931.3	0.013	0.405	3.073	1.959	6.314
ENSRNOT00000051060.5	0	0.586	3.997	5.343	2.561
ENSRNOT00000051483.3	0.008	214.169	276.46	162.993	218.151
ENSRNOT00000052270.6	0	3.032	11.759	10.007	13.174
ENSRNOT00000057587.2	0	82.066	124.346	124.495	123.644
ENSRNOT00000057623.1	0	46.384	45.249	7.757	7.617
ENSRNOT00000057724.4	0.008	4.768	1.542	1.698	0.953
ENSRNOT00000058727.4	0.02	0.156	0.531	1.24	0.641
ENSRNOT00000061516.5	0	6.433	5.407	0.842	1.785
ENSRNOT00000062052.4	0	1.226	5.188	0.061	0.396
ENSRNOT00000062054.5	0	3.333	6.846	8.9	8.144
ENSRNOT00000064331.4	0.016	21.554	23.948	13.511	13.624
ENSRNOT00000065224.1	0.007	1.081	0.258	0.088	0.787
ENSRNOT00000065288.1	0.015	64.791	48.269	47.682	48.661
ENSRNOT00000065584.3	0.004	50.483	62.419	70.387	89.712
ENSRNOT00000065805.2	0.008	1.861	0.497	0.319	0.225
ENSRNOT00000066823.2	0	0.408	1.179	2.985	0.824
ENSRNOT00000067616.2	0.005	14.187	7.655	7.52	4.992
ENSRNOT00000071707.3	0.014	41.225	34.156	29.011	33.356
ENSRNOT00000071846.2	0.003	0	0	0.454	0
ENSRNOT00000072398.1	0	20.4	22.888	45.539	15.038
ENSRNOT00000072458.2	0	0.732	1.874	3.374	3.616
ENSRNOT00000072528.1	0	0.609	0.867	0	1.167
ENSRNOT00000072868.1	0.013	33.653	39.384	47.245	57.479
ENSRNOT00000073435.2	0	0	0.95	0.592	0.377
ENSRNOT00000074325.1	0	282.373	317.412	623.577	210.944
ENSRNOT00000074326.1	0.048	1.814	3.145	4.491	4.038
ENSRNOT00000075940.1	0	26.835	26.989	0.647	0.384
ENSRNOT00000076538.1	0	25.68	24.571	0.953	0.811
ENSRNOT00000076618.2	0.004	3.054	6.23	0.786	4.671
ENSRNOT00000076710.2	0	5.01	1.939	1.272	6.862
ENSRNOT00000077306.1	0	81.301	101.711	189.91	74.972
ENSRNOT00000077606.1	0.008	34.463	45.996	23.4	45.403
ENSRNOT00000078034.1	0	0.731	0.99	4.286	2.248
ENSRNOT00000078210.1	0	2.562	1.978	7.701	2.167
ENSRNOT00000078317.1	0	54.834	62.932	35.85	64.297
ENSRNOT00000078928.1	0.038	0.274	0.076	0	0
ENSRNOT00000079005.1	0	72.251	74.023	145.594	49.482
ENSRNOT00000079225.1	0.002	0.5	0.133	0	0
ENSRNOT00000079515.1	0.02	36.23	28.566	25.389	24.854
ENSRNOT00000079707.1	0.036	2.728	4.463	6.147	2.215
ENSRNOT00000079916.1	0	20.4	22.888	45.539	15.038
ENSRNOT00000080331.1	0.002	4.162	5.216	9.431	2.98
ENSRNOT00000080623.1	0.005	2.02	0.983	0.354	0.137
ENSRNOT00000081014.1	0.004	0.437	0	0	0.107
ENSRNOT00000081021.1	0	7.123	4.866	1.691	1.996
ENSRNOT00000081447.1	0.002	0.002	0	0.543	0
ENSRNOT00000081482.1	0.03	23.257	23.918	15.221	27.539
ENSRNOT00000082030.1	0.024	10.971	5.421	5.836	7.033
ENSRNOT00000082439.1	0	23.077	6.766	7.139	10.171
ENSRNOT00000082648.1	0	0	0.043	18.48	20.995
ENSRNOT00000082699.1	0.007	31.479	49.025	45.152	25.183
ENSRNOT00000082776.1	0	10.259	15.642	19.809	15.668
ENSRNOT00000082825.1	0.023	1.861	1.656	0.386	1.578
ENSRNOT00000082885.1	0	20.4	22.888	45.539	15.038
ENSRNOT00000083617.1	0	1.26	0.541	0	1.976
ENSRNOT00000083700.1	0.011	2.992	0.583	0.838	0
ENSRNOT00000084058.1	0	1.025	3.655	5.351	5.955
ENSRNOT00000084155.1	0.033	2.538	1.171	0.716	2.232
ENSRNOT00000084320.1	0.006	1.742	1.41	4.932	3.96
ENSRNOT00000085414.1	0.001	0.548	0.295	0.001	0.443
ENSRNOT00000085588.1	0	2.11	2.363	0.022	0.054
ENSRNOT00000085701.1	0	4.314	8.159	1.172	7.38
ENSRNOT00000085875.1	0	20.4	22.888	45.539	15.038
ENSRNOT00000086056.1	0	0.042	0.191	57.379	63.132
ENSRNOT00000086342.1	0.048	0	0.33	0.278	0.075
ENSRNOT00000086550.1	0	0	0	1.748	0.46
ENSRNOT00000086999.1	0.04	0.315	0.141	0.002	0.004
ENSRNOT00000087247.1	0	81.301	101.711	189.91	74.972
ENSRNOT00000087270.1	0	2.003	0.289	0.093	0.802
ENSRNOT00000087861.1	0	0.944	0.002	0	0.056
ENSRNOT00000087883.1	0.001	2.397	0.468	0.413	3.034
ENSRNOT00000087928.1	0	49.109	37.307	31.335	30.46
ENSRNOT00000088048.1	0	66.258	56.936	40.188	46.98
ENSRNOT00000088111.1	0	20.4	22.888	45.539	15.038
ENSRNOT00000088593.1	0	0	0.227	66.544	74.299
ENSRNOT00000088616.1	0	0.165	0.21	14.536	16.655
ENSRNOT00000089138.1	0	1.172	0.825	0	0.252
ENSRNOT00000089235.1	0	9.772	17.396	23.72	16.939
ENSRNOT00000090422.1	0.044	110.239	137.718	85.217	102.313
ENSRNOT00000090579.1	0	15.115	12.42	7.003	7.572
ENSRNOT00000090678.1	0	3.007	1.005	0.368	1.884
ENSRNOT00000091100.1	0	2.037	0.005	0.003	0.798
ENSRNOT00000091116.1	0	49.696	47.29	30.833	43.468
ENSRNOT00000091297.1	0	10.634	12.199	30.152	15.677
ENSRNOT00000091328.1	0.049	48.484	65.296	35.935	40.068
ENSRNOT00000091696.1	0	0	1.498	1.603	7.144
ENSRNOT00000092019.1	0	268.424	258.19	169.305	170.109
ENSRNOT00000092078.1	0	0.044	0.193	60.543	70.448
ENSRNOT00000092178.1	0	0	0	0.782	0.22
ENSRNOT00000092245.1	0	3.103	0.286	0.176	0.228
ENSRNOT00000092436.1	0.036	1.633	0.743	0.324	0.271
